state_,city,total,population
TX,Abilene,1,122226
TX,Addison,2,15087
MI,Adrian,1,20878
OH,Akron,5,198329
CA,Alameda,2,76733
NY,Albany,4,98468
GA,Albany,4,76466
NM,Albuquerque,5,556092
VA,Alexandria,6,149315
CA,Alhambra,1,84782
CA,Aliso Viejo,1,49829
TX,Allen,1,92502
MI,Allen Park,1,27676
PA,Allentown,3,119261
OH,Alliance,1,22137
PA,Allison Park,1,21864
GA,Alpharetta,2,62054
FL,Altamonte Springs,1,42218
PA,Altoona,1,45814
TX,Amarillo,1,196571
IA,Ames,1,62815
OH,Amherst,2,12114
CA,Anaheim,4,345578
SC,Anderson,2,26978
IA,Ankeny,1,51489
MI,Ann Arbor,3,116194
MD,Annapolis,2,38841
NC,Apex,1,42220
FL,Apopka,1,45801
CA,Apple Valley,2,71083
MN,Apple Valley,2,50309
WI,Appleton,1,73118
CA,Arcadia,1,57564
PA,Ardmore,1,12698
TX,Arlington,8,379716
VA,Arlington,8,223945
CA,Arroyo Grande,1,17720
CO,Arvada,3,111658
VA,Ashburn,2,48954
NC,Asheville,2,86789
OH,Ashland,1,20392
OH,Ashtabula,1,18663
MD,Aspen Hill,1,52607
OH,Athens,2,24220
GA,Atlanta,15,448901
MA,Attleboro,1,43953
AL,Auburn,2,58693
CA,Auburn,2,13785
ME,Augusta,2,18772
IN,Aurora,13,3744
CO,Aurora,13,345867
GA,Austell,1,6994
TX,Austin,16,887061
OH,Austintown,1,28759
FL,Aventura,1,37357
IN,Avon,2,15145
OH,Avon,2,22046
AZ,Avondale,1,78872
CA,Azusa,1,48033
CA,Bakersfield,6,363612
CA,Baldwin Park,1,76602
MD,Baltimore,12,622454
ME,Bangor,1,32695
CA,Banning,1,30515
OH,Barberton,1,26340
CA,Barstow,1,23281
LA,Baton Rouge,1,229186
MN,Baxter,1,7768
NY,Bay Shore,1,29670
TX,Baytown,1,74897
TX,Beaumont,1,117676
OH,Beavercreek,3,45999
OR,Beaverton,2,93919
TX,Bedford,3,48559
MD,Bel Air,1,1488
MD,Bel Air,1,10247
OH,Bellefontaine,1,13279
WA,Bellevue,5,134630
NE,Bellevue,5,54067
WA,Bellingham,1,82944
MO,Belton,1,23209
OR,Bend,2,81780
AR,Bentonville,1,40368
CA,Berkeley,3,117384
MD,Bethesda,3,62102
MA,Beverly,1,40670
CA,Beverly Hills,2,34663
